SampleID,SampleID2,Station,Size1,Size2,Size,Group1,Group,Distance,long,la,Salinity,pH,Conductance,DO,T,PO3,N02,NH4,SiO3,NO3
Sample21,Bacteria_BE708-09M0041,Y7B3,3,0,0,NearDJ,Good,0.147,112.89419,9.54397,33.39,8.07,55660,4.74,29.7,5.00E-04,7.00E-04,0.0134,0.025231,0.007
Sample22,Bacteria_BE708-09M0042,Y7B0,0,0,0,NearDJ,Good,0.147,112.89419,9.54397,33.39,8.07,55660,4.74,29.7,5.00E-04,7.00E-04,0.0134,0.025231,0.007
Sample35,Bacteria_BE708-09M0069,AL1B3,3,0,0,NearDJ,Good,0,114.5322,9.93897,33.34,8.06,55251,4.77,29.4,0.0072,0.0025,0.0922,0.038996,0.03
Sample36,Bacteria_BE708-09M0070,AL1B0,0,0,0,NearDJ,Good,0,114.5322,9.93897,33.34,8.06,55251,4.77,29.4,0.0072,0.0025,0.0922,0.038996,0.03
Sample41,Bacteria_BE708-09M0081,NE2B3,3,0,0,NearDJ,Good,0,114.64254,10.00485,33.25,8.02,55330,4.18,29.6,0.0103,0.0021,0.0638,0.054261,0.041
Sample42,Bacteria_BE708-09M0082,NE2B0,0,0,0,NearDJ,Good,0,114.64254,10.00485,33.25,8.02,55330,4.18,29.6,0.0103,0.0021,0.0638,0.054261,0.041
Sample83,Bacteria_BE708-09M0137,AL1S3,3,0,0,NearDJ,Good,0,114.52917,9.93724,32.4,8.01,52275,3.87,27.8,0.0085,0.0024,0.0306,0.058131,0.043
Sample84,Bacteria_BE708-09M0138,AL1S0,0,0,0,NearDJ,Good,0,114.52917,9.93724,32.4,8.01,52275,3.87,27.8,0.0085,0.0024,0.0306,0.058131,0.043
Sample85,Bacteria_BE708-09M0139,AL1X3,3,0,0,NearDJ,Good,0,114.52334,9.93453,33.32,7.96,55313,4.6,29.4,0.0193,0.0018,0.0333,0.066646,0.025
Sample86,Bacteria_BE708-09M0140,AL1X0,0,0,0,NearDJ,Good,0,114.52334,9.93453,33.33,7.96,55313,4.7,30.4,0.0193,0.0018,0.0333,0.066646,0.025
Sample87,Bacteria_BE708-09M0141,CX1W3,3,0,0,NearDJ,Good,0,114.56582,9.96908,29.1,7.99,54176,4.26,29.1,0.0289,0.0027,0.1514,0.05339,0.052
Sample88,Bacteria_BE708-09M0142,CX1W0,0,0,0,NearDJ,Good,0,114.56582,9.96908,29.1,7.99,54176,4.26,29.1,0.0289,0.0027,0.1514,0.05339,0.052
Sample89,Bacteria_BE708-09M0143,ZQ3,3,0,0,NearDJ,Good,0.322,114.58704,9.981,33.29,8.01,52790,4.01,27,0.0164,0.001,0.0016,0.059461,0.017
Sample90,Bacteria_BE708-09M0144,ZQ0,0,0,0,NearDJ,Good,0.322,114.58704,9.981,33.29,8.01,52790,4.01,27,0.0164,0.001,0.0016,0.059461,0.017
Sample91,Bacteria_BE708-09M0145,NE1S3,3,0,0,NearDJ,Good,0.242,114.66082,9.96652,33.24,8,54036,4.01,28.3,0.0035,0.0022,0.0613,0.039015,0.04
Sample92,Bacteria_BE708-09M0146,NE1S0,0,0,0,NearDJ,Good,0.242,114.66082,9.96652,33.24,8,54036,4.01,28.3,0.0035,0.0022,0.0613,0.039015,0.04
Sample93,Bacteria_BE708-09M0147,NE2J3,3,0,0,NearDJ,Good,0,114.6379,10.00123,33.33,8.05,54795,3.08,28.9,0.0086,0.0027,0.0535,0.051355,0.036
Sample94,Bacteria_BE708-09M0148,NE2J0,0,0,0,NearDJ,Good,0,114.6379,10.00123,33.33,8.05,54795,3.08,28.9,0.0086,0.0027,0.0535,0.051355,0.036
Sample11,Bacteria_BE708-09M0021,YS1B3,3,0,0,NearDJ,Moderate,0,113.015028,9.667981,33.39,8.06,56490,4.68,30.5,0.018,0.0012,0,0.045256,0.017
Sample12,Bacteria_BE708-09M0022,YS1B0,0,0,0,NearDJ,Moderate,0,113.015028,9.667981,33.39,8.06,56490,4.68,30.5,0.018,0.0012,0,0.045256,0.017
Sample15,Bacteria_BE708-09M0029,Y2B3,3,0,0,NearDJ,Moderate,0.317,112.88738,9.55856,33.35,8.05,56015,4.59,30.1,0.0045,0.001,0.0185,0.040379,0.011
Sample16,Bacteria_BE708-09M0030,Y2B0,0,0,0,NearDJ,Moderate,0.317,112.88738,9.55856,33.35,8.05,56015,4.59,30.1,0.0045,0.001,0.0185,0.040379,0.011
Sample19,Bacteria_BE708-09M0037,Y6B3,3,0,0,NearDJ,Moderate,0.41,112.8862,9.53826,33.32,8.09,55741,4.68,29.9,0.0083,0.0011,0.0326,0.046376,0.015
Sample20,Bacteria_BE708-09M0038,Y6B0,0,0,0,NearDJ,Moderate,0.41,112.8862,9.53826,33.32,8.09,55741,4.68,29.9,0.0083,0.0011,0.0326,0.046376,0.015
Sample23,Bacteria_BE708-09M0045,YS2B3,3,0,0,NearDJ,Moderate,0,112.98023,9.66016,33.4,8.06,56079,4.9,30.1,0.0123,0.0011,0.0031,0.056319,0.018
Sample24,Bacteria_BE708-09M0046,YS2B0,0,0,0,NearDJ,Moderate,0,112.98023,9.66016,33.4,8.06,56079,4.9,30.1,0.0123,0.0011,0.0031,0.056319,0.018
Sample43,Bacteria_BE708-09M0085,GC1B3,3,0,0,NearDJ,Moderate,0.2,114.29182,9.73184,33.33,8.02,55162,4.86,29.3,0.0061,0.0018,0.0166,0.053528,0.029
Sample44,Bacteria_BE708-09M0086,GC1B0,0,0,0,NearDJ,Moderate,0.2,114.29182,9.73184,33.33,8.02,55162,4.86,29.3,0.0061,0.0018,0.0166,0.053528,0.029
Sample55,Bacteria_BE708-09M0105,QFB3,3,0,0,NearDJ,Moderate,0,111.72207,16.59573,33.51,8.01,55538,5.21,29.4,0.0121,0.004,0.1451,0.048247,0.048
Sample56,Bacteria_BE708-09M0106,QFB0,0,0,0,NearDJ,Moderate,0,111.72207,16.59573,33.51,8.01,55538,5.21,29.4,0.0121,0.004,0.1451,0.048247,0.048
Sample67,Bacteria_BE708-09M0121,YSS3,3,0,0,NearDJ,Moderate,0,113.01952,9.66173,33.29,8.02,57560,4.5,31.7,0.0057,0.0014,0.0494,0.039813,0.024
Sample68,Bacteria_BE708-09M0122,YSS0,0,0,0,NearDJ,Moderate,0,113.01952,9.66173,33.29,8.02,57560,4.5,31.7,0.0057,0.0014,0.0494,0.039813,0.024
Sample95,Bacteria_BE708-09M0149,CG23,3,0,0,NearDJ,Moderate,0,114.27273,9.7157,33.26,8.03,55674,4.48,29.8,0.0095,7.00E-04,0.0342,0.051593,0.017
Sample96,Bacteria_BE708-09M0150,CG20,0,0,0,NearDJ,Moderate,0,114.27273,9.7157,33.26,8.03,55674,4.48,29.8,0.0095,7.00E-04,0.0342,0.051593,0.017
Sample109,Bacteria_BE708-09M0163,QF13,3,0,0,NearDJ,Moderate,0,111.66215,16.57761,33.4,7.99,56855,3.27,30.9,0.0045,0.001,0,0.054765,0.015
Sample110,Bacteria_BE708-09M0164,QF10,0,0,0,NearDJ,Moderate,0,111.66215,16.57761,33.4,7.99,56855,3.27,30.9,0.0045,0.001,0,0.054765,0.015
Sample69,Bacteria_BE708-09M0123,XM4B3,3,0,0,NearDJ,Poor,0,114.47263,9.90677,33.37,8.05,54595,4.45,28.7,0.0021,0.0012,0.0205,0.031072,0.023
Sample31,Bacteria_BE708-09M0061,BS1B3,3,0,0,NearDJ,Poor,0,114.51561,9.87534,33.47,8.03,55316,4.96,29.3,0.0162,5.00E-04,0,0.050492,0.016
Sample30,Bacteria_BE708-09M0058,ZX1B0,0,0,0,NearDJ,Poor,0,114.46913,9.83714,33.44,8.04,55390,4.92,29.4,0.023,0.0026,0.0411,0.046108,0
Sample3,Bacteria_BE708-09M0005,ZS5B3,3,0,0,NearDJ,Poor,0,114.790179,16.216582,33.48,8.04,55817,4.6,30.2,0.0236,9.00E-04,0.0164,0.063568,0.021
Sample98,Bacteria_BE708-09M0152,AD1J0,0,0,0,NearDJ,Poor,0,114.70675,10.34493,33.32,8.04,55081,4.85,29.2,0.0078,0.0033,0.0947,0.051758,0.06
Sample99,Bacteria_BE708-09M0153,MZ1J3,3,0,0,NearDJ,Poor,0,114.79731,11.15816,33.4,8.05,54731,4.36,28.8,0.002,0.0018,0.0231,0.03439,0.013
Sample79,Bacteria_BE708-09M0133,DM1I3,3,0,0,NearDJ,Poor,0,114.5047,9.92221,33.34,8.05,54123,3.68,28.3,0.016,7.00E-04,0.0017,0.050529,0.017
Sample106,Bacteria_BE708-09M0160,YZ1J0,0,0,0,NearDJ,Poor,0,112.07419,16.3598,33.56,8.04,55432,4.05,29.3,0.0153,0.0012,0,0.053074,0.017
Sample51,Bacteria_BE708-09M0097,LH1B3,3,0,0,NearDJ,Poor,0,112.57855,16.08828,33.47,7.98,56099,4.42,30,0.0079,0.0018,0.0176,0.054832,0.029
Sample52,Bacteria_BE708-09M0098,LH1B0,0,0,0,NearDJ,Poor,0,112.57855,16.08828,33.47,7.98,56099,4.42,30,0.0079,0.0018,0.0176,0.054832,0.029
Sample53,Bacteria_BE708-09M0101,YZ1B3,3,0,0,NearDJ,Poor,0,112.07438,16.36044,33.41,8.02,56571,4.35,30.6,0.0012,0.0012,0.0053,0.036725,0.018
Sample5,Bacteria_BE708-09M0009,ZS6B3,3,0,0,NearDJ,Poor,0,114.282417,16.062678,33.69,8.08,56473,4.65,30.1,0.0167,3.00E-04,0,0.059354,0.017
Sample82,Bacteria_BE708-09M0136,DM20,0,0,0,NearDJ,Poor,0.35,114.50723,9.87321,32.98,8.04,54302,3.27,29,6.00E-04,4.00E-04,0,0.050305,0.012
Sample54,Bacteria_BE708-09M0102,YZ1B0,0,0,0,NearDJ,Poor,0,112.07438,16.36044,33.41,8.02,56571,4.35,30.6,0.0012,0.0012,0.0053,0.036725,0.018
Sample9,Bacteria_BE708-09M0017,ZS7B3,3,0,0,NearDJ,Poor,0,113.852153,15.49222,33.63,8.07,56548,4.79,33.63,0.002,0.0017,0.0096,0.042244,0.032
Sample59,Bacteria_BE708-09M0113,ZS13B3,3,0,0,NearDJ,Poor,0,114.48817,16.08668,33.58,8.06,55961,6.61,29.17,0.0056,0.0026,0.0239,0.037467,0.018
Sample8,Bacteria_BE708-09M0014,ZSXB0,0,0,0,NearDJ,Poor,0,114.127307,15.847771,33.67,8.05,56747,4.74,30.4,0.0135,0.0018,0.0119,0.052828,0.021
Sample97,Bacteria_BE708-09M0151,AD1J3,3,0,0,NearDJ,Poor,0,114.70675,10.34493,33.32,8.04,55081,4.85,29.2,0.0078,0.0033,0.0947,0.051758,0.06
